beat_index,time_sec,confidence
307,115.728254,1.0
308,116.099773,1.0
309,116.471293,1.0
310,116.854422,1.0
311,117.214331,1.0
312,117.597460,1.0
313,117.980590,1.0
314,118.352109,1.0
315,118.712018,1.0
316,119.060317,1.0
317,119.420227,1.0
318,119.849796,1.0
319,120.256145,1.0
320,120.627664,1.0
321,120.999184,1.0
322,121.370703,1.0
323,121.742222,1.0
324,122.102132,1.0
325,122.496871,1.0
326,122.880000,1.0
327,123.251519,1.0
328,123.623039,1.0
329,123.994558,1.0
330,124.366077,1.0
331,124.737596,1.0
332,125.109116,1.0
333,125.480635,1.0
334,125.852154,1.0
335,126.223673,1.0
336,126.595193,1.0
337,126.885442,1.0
338,127.303401,1.0
339,127.721361,1.0
340,128.092880,1.0
341,128.476009,1.0
342,128.847528,1.0
343,129.230658,1.0
344,129.602177,1.0
345,129.962086,1.0
346,130.333605,1.0
347,130.728345,1.0
348,131.099864,1.0
349,131.482993,1.0
350,131.854512,1.0
351,132.226032,1.0
352,132.597551,1.0
353,132.980680,1.0
354,133.352200,1.0
355,133.723719,1.0
356,134.095238,1.0
357,134.466757,1.0
358,134.838277,1.0
359,135.209796,1.0
360,135.604535,1.0
361,135.987664,1.0
362,136.359184,1.0
363,136.730703,1.0
364,137.102222,1.0
365,137.485351,1.0
366,137.856871,1.0
367,138.216780,1.0
368,138.599909,1.0
369,138.971429,1.0
370,139.354558,1.0
371,139.726077,1.0
372,140.097596,1.0
373,140.469116,1.0
374,140.852245,1.0
375,141.223764,1.0
376,141.606893,1.0
377,141.955193,1.0
378,142.349932,1.0
379,142.721451,1.0
380,143.104580,1.0
381,143.476100,1.0
382,143.859229,1.0
383,144.195918,1.0
384,144.590658,1.0
385,144.962177,1.0
386,145.333696,1.0
387,145.716825,1.0
388,146.099955,1.0
389,146.483084,1.0
390,146.854603,1.0
391,147.237732,1.0
392,147.609252,1.0
393,147.969161,1.0
394,148.317460,1.0
395,148.700590,1.0
396,149.095329,1.0
397,149.478458,1.0
398,149.849977,1.0
399,150.221497,1.0
400,150.581406,1.0
401,150.964535,1.0
402,151.347664,1.0
403,151.719184,1.0
404,152.102313,1.0
405,152.462222,1.0
406,152.845351,1.0
407,153.228481,1.0
408,153.600000,1.0
409,153.959909,1.0
410,154.343039,1.0
411,154.726168,1.0
412,155.097687,1.0
413,155.469206,1.0
414,155.840726,1.0
415,156.223855,1.0
416,156.606984,1.0
417,156.978503,1.0
418,157.350023,1.0
419,157.721542,1.0
420,158.104671,1.0
421,158.476190,1.0
422,158.847710,1.0
423,159.230839,1.0
424,159.613968,1.0
425,159.973878,1.0
426,160.357007,1.0
427,160.728526,1.0
428,161.076825,1.0
429,161.483175,1.0
430,161.866304,1.0
431,162.237823,1.0
432,162.597732,1.0
