time_sec,chord_symbol,confidence
59.640454,Bm,0.112123
59.652063,D,0.114014
59.953923,Dm,0.168461
59.977143,D,0.208977
60.070023,Dm,0.220393
60.081633,D,0.204879
60.104853,Dm,0.185356
60.116463,D,0.184743
60.128073,Dm,0.177618
60.139683,D,0.170477
60.232562,C,0.105438
60.290612,Am,0.151008
61.138141,Gm,0.131291
61.161361,Em,0.129707
61.300680,E,0.141725
61.323900,G,0.108532
61.335510,D,0.114741
61.811519,Bm,0.163306
61.997279,G,0.164056
62.043719,Bm,0.193537
62.438458,B,0.183746
63.204717,Em,0.179159
63.425306,B,0.204891
64.063855,Em,0.158085
64.087075,B,0.163796
64.446984,Cm,0.095090
64.470204,Fm,0.094532
64.528254,Em,0.099371
64.690794,C,0.099361
65.480272,Am,0.191400
65.607982,C,0.174752
65.793741,Cm,0.137102
65.816961,C,0.121913
65.828571,Cm,0.114902
65.863401,G,0.105104
65.898231,Cm,0.121365
65.921451,G,0.120922
65.956281,D,0.119544
66.049161,Dm,0.200129
66.072381,D,0.209565
66.234921,G,0.180509
66.281361,Bm,0.211126
66.490340,G,0.196732
66.501950,D,0.188535
66.792200,Gm,0.126258
66.931519,C#,0.095176
66.954739,C#m,0.094854
67.024399,A,0.096979
67.047619,E,0.099938
67.361088,A,0.158186
67.395918,E,0.164932
67.535238,Em,0.177414
67.697778,E,0.175022
67.720998,A,0.181294
67.744218,Em,0.181155
67.860317,E,0.178284
67.895147,Em,0.180355
68.092517,A,0.110160
68.138957,D,0.127590
68.603356,A#,0.177789
68.614966,D,0.177501
68.626576,Bm,0.184846
68.661406,D,0.194239
68.684626,Bm,0.197221
68.707846,D,0.205233
68.835556,Gm,0.183957
68.847166,G,0.192251
68.916825,D,0.181308
69.021315,Dm,0.139536
69.032925,D,0.134832
69.114195,G,0.122199
69.125805,D,0.118723
69.137415,G,0.116058
69.207075,Dm,0.102151
69.218685,G,0.102227
69.358005,Dm,0.101530
69.369615,A,0.102535
69.578594,Dm,0.131796
69.717914,Am,0.144800
69.775964,A,0.188143
70.182313,Am,0.153840
70.426122,E,0.120110
70.472562,Em,0.119091
70.495782,B,0.122433
70.519002,Em,0.127406
70.530612,E,0.132643
70.611882,B,0.151981
71.053061,Bm,0.145268
71.111111,B,0.133341
71.134331,Bm,0.129792
71.169161,B,0.122118
71.262041,Bm,0.111928
71.273651,G,0.114996
71.285261,Em,0.116291
71.331701,G,0.115383
71.389751,Em,0.099671
71.401361,B,0.098156
71.412971,E,0.097101
71.482630,C#m,0.091837
71.494240,A,0.092101
71.529070,Em,0.096168
71.552290,A,0.101730
71.575510,E,0.107182
71.633560,Em,0.121117
71.819320,E,0.133800
71.842540,A,0.126247
71.970249,E,0.106249
72.028299,Em,0.110775
72.202449,E,0.103933
72.225669,A,0.107458
72.272109,Em,0.116864
72.562358,E,0.097962
72.573968,C#m,0.096836
72.585578,C#,0.094182
72.597188,Dm,0.095564
73.003537,G,0.145054
